aaaGene	Human_ERR1801011
GPFGEMDG_00661	342
GPFGEMDG_00662	0
GPFGEMDG_00664	2081
GPFGEMDG_00665	4679
GPFGEMDG_00666	0
GPFGEMDG_00667	47
GPFGEMDG_00669	0
GPFGEMDG_00670	1472
GPFGEMDG_00671	0
GPFGEMDG_00674	0
GPFGEMDG_00676	0
GPFGEMDG_00679	0
GPFGEMDG_00680	0
GPFGEMDG_00681	61
GPFGEMDG_00682	3276
GPFGEMDG_00683	0
GPFGEMDG_00685	2257
GPFGEMDG_00689	753
GPFGEMDG_00693	2640
GPFGEMDG_00694	2800
GPFGEMDG_00697	1509
GPFGEMDG_00699	9208
GPFGEMDG_00702	0
GPFGEMDG_00706	65
GPFGEMDG_00707	0
GPFGEMDG_00708	3779
GPFGEMDG_00709	73
GPFGEMDG_00713	64
GPFGEMDG_00714	0
GPFGEMDG_00717	0
GPFGEMDG_00718	0
GPFGEMDG_00728	0
GPFGEMDG_00729	3
GPFGEMDG_00731	0
GPFGEMDG_00732	0
GPFGEMDG_00734	19
GPFGEMDG_00736	120
GPFGEMDG_00751	0
GPFGEMDG_00752	2437
GPFGEMDG_00753	0
GPFGEMDG_00754	719
GPFGEMDG_00755	284
GPFGEMDG_00768	0
GPFGEMDG_00769	0
GPFGEMDG_00771	0
GPFGEMDG_00772	641
GPFGEMDG_00787	0
GPFGEMDG_00818	0
GPFGEMDG_00822	9249
GPFGEMDG_00823	789
GPFGEMDG_00825	6559
GPFGEMDG_00827	787
GPFGEMDG_00830	89
GPFGEMDG_00831	0
GPFGEMDG_00832	575
GPFGEMDG_00833	0
GPFGEMDG_00834	1103
GPFGEMDG_00836	283
GPFGEMDG_00837	0
GPFGEMDG_00841	202
GPFGEMDG_00844	6268
GPFGEMDG_00849	1669
GPFGEMDG_00850	238
GPFGEMDG_00852	0
GPFGEMDG_00853	230
GPFGEMDG_00855	6955
GPFGEMDG_00860	0
GPFGEMDG_00861	2311
GPFGEMDG_00871	497
GPFGEMDG_00875	198
GPFGEMDG_00877	0
GPFGEMDG_00886	0
GPFGEMDG_00889	0
GPFGEMDG_00890	282
GPFGEMDG_00892	378
GPFGEMDG_00893	0
GPFGEMDG_00899	73
GPFGEMDG_00900	0
GPFGEMDG_00901	1549
GPFGEMDG_00902	0
GPFGEMDG_00906	0
GPFGEMDG_00907	42
GPFGEMDG_00908	0
GPFGEMDG_00909	2161
GPFGEMDG_00910	154
GPFGEMDG_00911	0
GPFGEMDG_00920	1194
GPFGEMDG_00922	0
GPFGEMDG_00933	0
GPFGEMDG_00934	0
GPFGEMDG_00940	0
GPFGEMDG_00945	80
GPFGEMDG_00949	0
GPFGEMDG_00950	532
GPFGEMDG_00953	1216
GPFGEMDG_00957	118
GPFGEMDG_00958	42
GPFGEMDG_00965	1620
GPFGEMDG_00966	0
GPFGEMDG_00967	0
GPFGEMDG_00970	2547
GPFGEMDG_00975	32
GPFGEMDG_00977	0
GPFGEMDG_00978	144
GPFGEMDG_00982	100
GPFGEMDG_00983	0
GPFGEMDG_00984	0
GPFGEMDG_00985	0
GPFGEMDG_00987	148
GPFGEMDG_00988	2073
GPFGEMDG_00991	0
GPFGEMDG_00994	327
GPFGEMDG_00996	1349
GPFGEMDG_01000	289
GPFGEMDG_01001	0
GPFGEMDG_01002	0
GPFGEMDG_01003	0
GPFGEMDG_01004	0
GPFGEMDG_01005	0
GPFGEMDG_01006	258
GPFGEMDG_01007	399
GPFGEMDG_01008	0
GPFGEMDG_01009	0
GPFGEMDG_01010	0
GPFGEMDG_01011	0
GPFGEMDG_01012	116
GPFGEMDG_01013	0
GPFGEMDG_01014	0
GPFGEMDG_01015	0
GPFGEMDG_01016	276
GPFGEMDG_01017	40
GPFGEMDG_01018	0
GPFGEMDG_01019	0
GPFGEMDG_01020	0
GPFGEMDG_01021	0
GPFGEMDG_01022	0
GPFGEMDG_01023	0
GPFGEMDG_01024	0
GPFGEMDG_01025	0
GPFGEMDG_01026	0
GPFGEMDG_01027	0
GPFGEMDG_01028	0
GPFGEMDG_01029	0
GPFGEMDG_01030	0
GPFGEMDG_01031	0
GPFGEMDG_01033	746
GPFGEMDG_01034	1813
GPFGEMDG_01035	40
GPFGEMDG_01036	125
GPFGEMDG_01037	4029
GPFGEMDG_01038	1815
GPFGEMDG_01039	0
GPFGEMDG_01040	1193
GPFGEMDG_01041	453
GPFGEMDG_01042	0
GPFGEMDG_01043	0
GPFGEMDG_01044	87
GPFGEMDG_01045	4856
GPFGEMDG_01046	0
GPFGEMDG_01047	0
GPFGEMDG_01048	70
GPFGEMDG_01049	0
GPFGEMDG_01050	390
GPFGEMDG_01051	0
GPFGEMDG_01052	0
GPFGEMDG_01053	1047
GPFGEMDG_01054	1322
GPFGEMDG_01055	375
GPFGEMDG_01057	0
GPFGEMDG_01058	0
GPFGEMDG_01059	0
GPFGEMDG_01060	0
GPFGEMDG_01061	0
GPFGEMDG_01062	0
GPFGEMDG_01063	0
GPFGEMDG_01066	0
GPFGEMDG_01067	0
GPFGEMDG_01068	0
GPFGEMDG_01069	0
GPFGEMDG_01070	0
GPFGEMDG_01071	0
GPFGEMDG_01072	0
GPFGEMDG_01074	4072
GPFGEMDG_01075	0
GPFGEMDG_01077	0
GPFGEMDG_01080	0
GPFGEMDG_01086	0
GPFGEMDG_01087	40
GPFGEMDG_01092	0
GPFGEMDG_01095	0
GPFGEMDG_01100	1
GPFGEMDG_01102	0
GPFGEMDG_01104	0
GPFGEMDG_01108	0
GPFGEMDG_01112	0
GPFGEMDG_01113	0
GPFGEMDG_01114	0
GPFGEMDG_01115	0
GPFGEMDG_01117	215
GPFGEMDG_01119	0
GPFGEMDG_01128	0
GPFGEMDG_01129	0
GPFGEMDG_01133	0
GPFGEMDG_01134	0
GPFGEMDG_01139	6282
GPFGEMDG_01141	0
GPFGEMDG_01156	245
GPFGEMDG_01158	0
GPFGEMDG_01160	51
GPFGEMDG_01161	0
GPFGEMDG_01162	289
GPFGEMDG_01163	0
GPFGEMDG_01164	44
GPFGEMDG_01167	0
GPFGEMDG_01171	0
GPFGEMDG_01174	0
GPFGEMDG_01176	0
GPFGEMDG_01181	0
GPFGEMDG_01206	0
GPFGEMDG_01211	0
GPFGEMDG_01212	0
GPFGEMDG_01213	0
GPFGEMDG_01222	214
GPFGEMDG_01223	884
GPFGEMDG_01224	0
GPFGEMDG_01225	0
GPFGEMDG_01227	402
GPFGEMDG_01228	0
GPFGEMDG_01229	25
GPFGEMDG_01230	0
GPFGEMDG_01231	0
GPFGEMDG_01232	340
GPFGEMDG_01233	41
GPFGEMDG_01240	0
GPFGEMDG_01241	0
GPFGEMDG_01247	0
GPFGEMDG_01254	0
GPFGEMDG_01255	0
GPFGEMDG_01256	2579
GPFGEMDG_01258	221
GPFGEMDG_01261	0
GPFGEMDG_01266	0
GPFGEMDG_01267	0
GPFGEMDG_01269	0
GPFGEMDG_01270	0
GPFGEMDG_01274	240
GPFGEMDG_01275	0
GPFGEMDG_01279	0
GPFGEMDG_01283	0
GPFGEMDG_01285	0
GPFGEMDG_01290	2001
GPFGEMDG_01291	1510
GPFGEMDG_01292	48
GPFGEMDG_01293	0
GPFGEMDG_01294	186
GPFGEMDG_01301	0
GPFGEMDG_01303	97
GPFGEMDG_01304	499
GPFGEMDG_01305	0
GPFGEMDG_01307	0
GPFGEMDG_01308	54
GPFGEMDG_01313	0
GPFGEMDG_01314	83
GPFGEMDG_01316	4264
GPFGEMDG_01318	0
GPFGEMDG_01321	0
GPFGEMDG_01333	0
GPFGEMDG_01339	138
GPFGEMDG_01340	675
GPFGEMDG_01341	742
GPFGEMDG_01342	0
GPFGEMDG_01343	0
GPFGEMDG_01345	0
GPFGEMDG_01346	0
GPFGEMDG_01347	0
GPFGEMDG_01350	0
GPFGEMDG_01356	0
GPFGEMDG_01358	4788
GPFGEMDG_01360	809
GPFGEMDG_01361	0
GPFGEMDG_01362	0
GPFGEMDG_01363	938
GPFGEMDG_01365	3120
GPFGEMDG_01367	0
GPFGEMDG_01369	1736
GPFGEMDG_01376	246
GPFGEMDG_01377	1247
GPFGEMDG_01379	0
GPFGEMDG_01382	0
GPFGEMDG_01386	0
GPFGEMDG_01393	0
GPFGEMDG_01404	81
GPFGEMDG_01416	0
GPFGEMDG_01420	0
GPFGEMDG_01423	0
GPFGEMDG_01424	0
GPFGEMDG_01425	1090
GPFGEMDG_01430	0
GPFGEMDG_01431	0
GPFGEMDG_01434	0
GPFGEMDG_01436	0
GPFGEMDG_01437	0
GPFGEMDG_01441	0
GPFGEMDG_01443	0
GPFGEMDG_01444	140
GPFGEMDG_01446	0
GPFGEMDG_01448	0
GPFGEMDG_01449	907
GPFGEMDG_01450	83
GPFGEMDG_01451	0
GPFGEMDG_01452	104
GPFGEMDG_01453	0
GPFGEMDG_01454	1218
GPFGEMDG_01455	0
GPFGEMDG_01456	99
GPFGEMDG_01458	871
GPFGEMDG_01459	0
GPFGEMDG_01460	0
GPFGEMDG_01461	379
GPFGEMDG_01462	0
GPFGEMDG_01465	0
GPFGEMDG_01478	2147
GPFGEMDG_01484	39
GPFGEMDG_01485	0
GPFGEMDG_01486	0
GPFGEMDG_01487	0
GPFGEMDG_01490	0
GPFGEMDG_01493	61
GPFGEMDG_01496	2006
GPFGEMDG_01498	0
GPFGEMDG_01500	0
GPFGEMDG_01501	23
GPFGEMDG_01505	0
GPFGEMDG_01506	0
GPFGEMDG_01510	77
GPFGEMDG_01511	0
GPFGEMDG_01514	0
GPFGEMDG_01518	0
GPFGEMDG_01519	0
GPFGEMDG_01520	900
GPFGEMDG_01521	0
GPFGEMDG_01523	218
GPFGEMDG_01524	6033
GPFGEMDG_01526	508
GPFGEMDG_01531	0
GPFGEMDG_01534	0
GPFGEMDG_01535	207
GPFGEMDG_01552	0
GPFGEMDG_01553	0
GPFGEMDG_01554	0
GPFGEMDG_01555	131
GPFGEMDG_01560	0
GPFGEMDG_01562	978
GPFGEMDG_01563	266
GPFGEMDG_01566	583
GPFGEMDG_01568	529
GPFGEMDG_01569	5265
GPFGEMDG_01571	43
GPFGEMDG_01573	0
GPFGEMDG_01576	0
GPFGEMDG_01577	3446
GPFGEMDG_01578	0
GPFGEMDG_01579	3113
GPFGEMDG_01580	7
GPFGEMDG_01581	1030
GPFGEMDG_01582	26
GPFGEMDG_01584	4843
GPFGEMDG_01592	125
GPFGEMDG_01594	5082
GPFGEMDG_01595	7255
GPFGEMDG_01596	228
GPFGEMDG_01598	80
GPFGEMDG_01601	0
GPFGEMDG_01602	42
GPFGEMDG_01603	91
GPFGEMDG_01604	0
GPFGEMDG_01605	0
GPFGEMDG_01606	445
GPFGEMDG_01609	2185
GPFGEMDG_01610	589
GPFGEMDG_01611	1206
GPFGEMDG_01616	738
GPFGEMDG_01618	1329
GPFGEMDG_01623	147
GPFGEMDG_01624	0
GPFGEMDG_01627	2041
GPFGEMDG_01628	0
GPFGEMDG_01629	68
GPFGEMDG_01635	716
GPFGEMDG_01636	0
GPFGEMDG_01641	0
GPFGEMDG_01642	403
GPFGEMDG_01644	0
GPFGEMDG_01646	2540
GPFGEMDG_01650	0
GPFGEMDG_01651	0
GPFGEMDG_01652	65
GPFGEMDG_01653	0
GPFGEMDG_01654	226
GPFGEMDG_01655	78
GPFGEMDG_01656	232
GPFGEMDG_01657	0
GPFGEMDG_01658	0
GPFGEMDG_01659	0
GPFGEMDG_01660	0
GPFGEMDG_01661	0
GPFGEMDG_01662	0
GPFGEMDG_01665	0
GPFGEMDG_01669	300
GPFGEMDG_01671	126
GPFGEMDG_01672	0
GPFGEMDG_01673	1626
GPFGEMDG_01674	0
GPFGEMDG_01675	0
GPFGEMDG_01677	0
GPFGEMDG_01678	964
GPFGEMDG_01681	48
GPFGEMDG_01682	2176
GPFGEMDG_01687	3863
GPFGEMDG_01689	0
GPFGEMDG_01691	2429
GPFGEMDG_01693	4013
GPFGEMDG_01696	0
GPFGEMDG_01697	0
GPFGEMDG_01698	4591
GPFGEMDG_01699	11281
GPFGEMDG_01703	0
GPFGEMDG_01706	2707
GPFGEMDG_01709	0
GPFGEMDG_01710	4996
GPFGEMDG_01711	4012
GPFGEMDG_01712	0
GPFGEMDG_01713	0
GPFGEMDG_01716	27
GPFGEMDG_01717	0
GPFGEMDG_01718	678
GPFGEMDG_01720	0
GPFGEMDG_01721	27
GPFGEMDG_01724	591
GPFGEMDG_01726	0
GPFGEMDG_01727	0
GPFGEMDG_01731	0
GPFGEMDG_01738	225
GPFGEMDG_01739	1090
GPFGEMDG_01743	0
GPFGEMDG_01745	0
GPFGEMDG_01748	1
GPFGEMDG_01749	0
GPFGEMDG_01750	0
GPFGEMDG_01751	1917
GPFGEMDG_01752	340
GPFGEMDG_01756	0
GPFGEMDG_01771	0
GPFGEMDG_01783	3625
GPFGEMDG_01784	103
GPFGEMDG_01785	0
GPFGEMDG_01789	0
GPFGEMDG_01790	545
GPFGEMDG_01792	0
GPFGEMDG_01798	0
GPFGEMDG_01799	575
GPFGEMDG_01800	7135
GPFGEMDG_01801	168
GPFGEMDG_01802	0
GPFGEMDG_01803	0
GPFGEMDG_01804	139
GPFGEMDG_01805	7394
GPFGEMDG_01806	2
GPFGEMDG_01808	0
GPFGEMDG_01810	0
GPFGEMDG_01811	0
GPFGEMDG_01822	0
GPFGEMDG_01824	706
GPFGEMDG_01828	0
GPFGEMDG_01839	0
GPFGEMDG_01867	0
GPFGEMDG_01868	103
GPFGEMDG_01869	0
GPFGEMDG_01872	84
GPFGEMDG_01881	0
GPFGEMDG_01883	0
GPFGEMDG_01885	0
GPFGEMDG_01887	0
GPFGEMDG_01888	0
GPFGEMDG_01890	1133
GPFGEMDG_01891	0
GPFGEMDG_01892	0
GPFGEMDG_01893	0
GPFGEMDG_01894	0
GPFGEMDG_01895	0
GPFGEMDG_01896	0
GPFGEMDG_01898	2084
GPFGEMDG_01900	3687
GPFGEMDG_01901	134
GPFGEMDG_01902	198
GPFGEMDG_01903	1696
GPFGEMDG_01904	1767
GPFGEMDG_01905	0
GPFGEMDG_01906	446
GPFGEMDG_01907	1322
GPFGEMDG_01908	191
GPFGEMDG_01909	7527
GPFGEMDG_01910	291
GPFGEMDG_01911	0
GPFGEMDG_01912	996
GPFGEMDG_01913	543
GPFGEMDG_01914	662
GPFGEMDG_01915	0
GPFGEMDG_01916	1466
GPFGEMDG_01917	0
GPFGEMDG_01918	92
GPFGEMDG_01919	0
GPFGEMDG_01920	0
GPFGEMDG_01921	49
GPFGEMDG_01922	0
GPFGEMDG_01923	0
GPFGEMDG_01924	0
GPFGEMDG_01925	1
GPFGEMDG_01926	0
GPFGEMDG_01927	531
GPFGEMDG_01928	0
GPFGEMDG_01929	0
GPFGEMDG_01930	0
GPFGEMDG_01931	0
GPFGEMDG_01932	0
GPFGEMDG_01933	169
GPFGEMDG_01934	0
GPFGEMDG_01935	0
GPFGEMDG_01938	6
GPFGEMDG_01939	2044
GPFGEMDG_01942	18
GPFGEMDG_01943	1080
GPFGEMDG_01944	1725
GPFGEMDG_01945	0
GPFGEMDG_01946	4634
GPFGEMDG_01947	0
GPFGEMDG_01948	0
GPFGEMDG_01950	0
GPFGEMDG_01951	765
GPFGEMDG_01952	0
GPFGEMDG_01953	0
GPFGEMDG_01954	0
GPFGEMDG_01955	0
GPFGEMDG_01956	108
GPFGEMDG_01957	0
GPFGEMDG_01965	0
GPFGEMDG_01966	0
GPFGEMDG_01969	0
GPFGEMDG_01970	1
GPFGEMDG_01972	921
GPFGEMDG_01973	0
GPFGEMDG_01975	0
GPFGEMDG_01976	999
GPFGEMDG_01977	111
GPFGEMDG_01981	0
GPFGEMDG_01982	0
GPFGEMDG_01984	0
GPFGEMDG_01985	1908
GPFGEMDG_01989	340
GPFGEMDG_01990	1711
GPFGEMDG_01991	0
GPFGEMDG_01992	42
GPFGEMDG_01993	0
GPFGEMDG_01994	0
GPFGEMDG_01995	4767
GPFGEMDG_01996	766
GPFGEMDG_01997	803
GPFGEMDG_01998	0
GPFGEMDG_02000	0
GPFGEMDG_02001	0
GPFGEMDG_02002	0
GPFGEMDG_02003	314
GPFGEMDG_02004	0
GPFGEMDG_02005	0
GPFGEMDG_02006	0
GPFGEMDG_02007	0
GPFGEMDG_02019	4339
GPFGEMDG_02020	0
GPFGEMDG_02021	0
GPFGEMDG_02022	0
GPFGEMDG_02023	1135
GPFGEMDG_02024	1148
GPFGEMDG_02025	0
GPFGEMDG_02026	0
GPFGEMDG_02028	939
GPFGEMDG_02029	0
GPFGEMDG_02030	677
GPFGEMDG_02031	0
GPFGEMDG_02032	0
GPFGEMDG_02033	4401
GPFGEMDG_02034	0
GPFGEMDG_02036	0
GPFGEMDG_02037	954
GPFGEMDG_02038	0
GPFGEMDG_02040	0
GPFGEMDG_02043	0
GPFGEMDG_02044	0
GPFGEMDG_02045	0
GPFGEMDG_02046	329
GPFGEMDG_02047	0
GPFGEMDG_02051	269
GPFGEMDG_02052	0
GPFGEMDG_02058	0
GPFGEMDG_02059	0
GPFGEMDG_02063	0
GPFGEMDG_02064	0
GPFGEMDG_02066	0
GPFGEMDG_02067	850
GPFGEMDG_02068	0
GPFGEMDG_02069	0
GPFGEMDG_02070	0
GPFGEMDG_02072	0
GPFGEMDG_02073	0
GPFGEMDG_02074	0
GPFGEMDG_02075	0
GPFGEMDG_02076	0
GPFGEMDG_02077	0
GPFGEMDG_02078	0
GPFGEMDG_02080	129
GPFGEMDG_02081	22
GPFGEMDG_02082	0
GPFGEMDG_02083	94
GPFGEMDG_02084	5541
GPFGEMDG_02085	63
GPFGEMDG_02086	0
GPFGEMDG_02087	0
GPFGEMDG_02092	154
GPFGEMDG_02093	0
GPFGEMDG_02097	178
GPFGEMDG_02100	0
GPFGEMDG_02101	0
GPFGEMDG_02104	0
GPFGEMDG_02105	928
GPFGEMDG_02106	0
GPFGEMDG_02107	0
GPFGEMDG_02109	2572
GPFGEMDG_02111	282
GPFGEMDG_02113	163
GPFGEMDG_02123	0
GPFGEMDG_02124	60
GPFGEMDG_02125	46
GPFGEMDG_02140	78
GPFGEMDG_02148	545
GPFGEMDG_02150	35
GPFGEMDG_02164	0
GPFGEMDG_02166	859
GPFGEMDG_02167	0
GPFGEMDG_02172	0
GPFGEMDG_02173	0
GPFGEMDG_02178	0
GPFGEMDG_02179	513
GPFGEMDG_02180	31
GPFGEMDG_02182	266
GPFGEMDG_02183	0
GPFGEMDG_02196	0
GPFGEMDG_02199	0
GPFGEMDG_02202	0
GPFGEMDG_02205	0
GPFGEMDG_02208	7598
GPFGEMDG_02209	0
GPFGEMDG_02211	0
GPFGEMDG_02224	268
GPFGEMDG_02227	0
GPFGEMDG_02229	0
GPFGEMDG_02230	0
GPFGEMDG_02231	0
GPFGEMDG_02245	1892
GPFGEMDG_02260	654
GPFGEMDG_02261	0
GPFGEMDG_02264	1499
GPFGEMDG_02269	518
GPFGEMDG_02275	498
GPFGEMDG_02277	2595
GPFGEMDG_02278	4290
GPFGEMDG_02279	82
GPFGEMDG_02280	0
GPFGEMDG_02281	0
GPFGEMDG_02283	0
GPFGEMDG_02286	184
GPFGEMDG_02287	11873
GPFGEMDG_02288	0
GPFGEMDG_02289	169
GPFGEMDG_02290	0
GPFGEMDG_02291	1360
GPFGEMDG_02292	3107
GPFGEMDG_02293	0
GPFGEMDG_02294	119
GPFGEMDG_02295	0
GPFGEMDG_02296	1
GPFGEMDG_02297	0
GPFGEMDG_02298	0
GPFGEMDG_02299	0
GPFGEMDG_02300	0
GPFGEMDG_02301	0
GPFGEMDG_02302	0
GPFGEMDG_02303	715
GPFGEMDG_02304	0
GPFGEMDG_02305	0
GPFGEMDG_02306	0
GPFGEMDG_02308	0
GPFGEMDG_02310	0
GPFGEMDG_02313	274
GPFGEMDG_02314	0
GPFGEMDG_02315	793
GPFGEMDG_02318	0
GPFGEMDG_02319	90
GPFGEMDG_02324	1246
GPFGEMDG_02331	0
GPFGEMDG_02335	0
GPFGEMDG_02337	347
GPFGEMDG_02338	110
GPFGEMDG_02339	100
GPFGEMDG_02340	3266
GPFGEMDG_02341	1
GPFGEMDG_02344	596
GPFGEMDG_02345	66
GPFGEMDG_02352	266
GPFGEMDG_02354	163
GPFGEMDG_02356	76
GPFGEMDG_02357	0
GPFGEMDG_02359	0
GPFGEMDG_02363	0
GPFGEMDG_02364	0
GPFGEMDG_02365	0
GPFGEMDG_02370	628
GPFGEMDG_02373	1933
GPFGEMDG_02375	865
GPFGEMDG_02376	0
GPFGEMDG_02378	0
GPFGEMDG_02380	1509
GPFGEMDG_02383	0
GPFGEMDG_02385	0
GPFGEMDG_02386	1861
GPFGEMDG_02387	0
GPFGEMDG_02388	0
GPFGEMDG_02390	7
GPFGEMDG_02391	487
GPFGEMDG_02394	1499
GPFGEMDG_02396	91
GPFGEMDG_02398	32
GPFGEMDG_02399	0
